# TOPAS Version: 3.9
# Parameter File: 6.8a_brem.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeIfParticleOrAncestorFromProcess = 1 "eBrem"
# Scored in component: Scorer
# X in 1 bin  of 0.5 cm
# Y in 1 bin  of 0.5 cm
# Z in 80 bins of 0.025 cm
# DoseToMedium ( Gy ) : Sum   Standard_Deviation   
0, 0, 0, 5.360622878924914e-08, 3.108842842585398e-12
0, 0, 1, 5.103646572024445e-08, 2.566510647650522e-12
0, 0, 2, 5.106011613520423e-08, 2.828870369430516e-12
0, 0, 3, 4.21837569319905e-08, 2.041655898936976e-12
0, 0, 4, 4.62902711717561e-08, 3.3887832242841e-12
0, 0, 5, 2.329347914553637e-08, 1.432676165470736e-12
0, 0, 6, 3.808887782952297e-08, 2.204617352877139e-12
0, 0, 7, 5.245576062407054e-08, 2.576423082749831e-12
0, 0, 8, 4.400273212468164e-08, 2.33922021692228e-12
0, 0, 9, 3.802740167202501e-08, 1.689531798041089e-12
0, 0, 10, 3.67584007676669e-08, 2.189951667309565e-12
0, 0, 11, 3.037843399056328e-08, 2.452863994841517e-12
0, 0, 12, 3.806571413633719e-08, 2.220378458973622e-12
0, 0, 13, 5.071490605246254e-08, 3.065930821912865e-12
0, 0, 14, 4.651322527138291e-08, 2.660331704597143e-12
0, 0, 15, 4.857505686572949e-08, 2.967529811036172e-12
0, 0, 16, 3.760688471743379e-08, 2.139794888605771e-12
0, 0, 17, 4.10117202420679e-08, 2.236817252733305e-12
0, 0, 18, 5.437082961634587e-08, 3.630408780093484e-12
0, 0, 19, 5.065988872843263e-08, 3.026891888024276e-12
0, 0, 20, 4.855205659737294e-08, 2.996939842796282e-12
0, 0, 21, 6.888924986014899e-08, 4.298462241878738e-12
0, 0, 22, 5.755527610062927e-08, 3.120942486914603e-12
0, 0, 23, 4.300068567886228e-08, 2.21106663651497e-12
0, 0, 24, 5.976112049665971e-08, 3.236509951096499e-12
0, 0, 25, 7.892929687614014e-08, 4.041060845648323e-12
0, 0, 26, 5.308368145051645e-08, 2.671006040150394e-12
0, 0, 27, 4.264092368089223e-08, 2.289393366054686e-12
0, 0, 28, 5.295096627833118e-08, 2.676253452452414e-12
0, 0, 29, 5.91431366103734e-08, 3.371174306645474e-12
0, 0, 30, 6.782389760928709e-08, 3.287670176312897e-12
0, 0, 31, 8.786407335037438e-08, 4.521189666836243e-12
0, 0, 32, 4.921925267353799e-08, 2.17724606839501e-12
0, 0, 33, 4.856733326619178e-08, 2.454546837502769e-12
0, 0, 34, 5.628789168099502e-08, 3.037870156762003e-12
0, 0, 35, 7.085023412400915e-08, 3.445385050020292e-12
0, 0, 36, 8.971225184950526e-08, 3.91922014324698e-12
0, 0, 37, 6.233848637293704e-08, 3.068688425417332e-12
0, 0, 38, 6.135063301826449e-08, 2.892602776659967e-12
0, 0, 39, 6.481753445086724e-08, 2.740854187182719e-12
0, 0, 40, 3.782833957188814e-08, 1.914346604509879e-12
0, 0, 41, 4.401367448281235e-08, 2.151769771421196e-12
0, 0, 42, 4.07479916475495e-08, 2.080068986724957e-12
0, 0, 43, 5.869149077852853e-08, 3.406156988296943e-12
0, 0, 44, 5.614617393234766e-08, 2.832833492959953e-12
0, 0, 45, 4.337776715601649e-08, 2.28247883591524e-12
0, 0, 46, 4.286019361643412e-08, 2.51542623694442e-12
0, 0, 47, 3.913148205469952e-08, 2.257076483749888e-12
0, 0, 48, 7.228911158563278e-08, 3.627007582740164e-12
0, 0, 49, 4.565867328665263e-08, 2.378219355947441e-12
0, 0, 50, 6.059274682002069e-08, 4.154084669032307e-12
0, 0, 51, 6.749862535571083e-08, 3.07182318501802e-12
0, 0, 52, 4.338034287343362e-08, 2.540749768244592e-12
0, 0, 53, 3.298207928992269e-08, 1.702125199554158e-12
0, 0, 54, 3.193638775655927e-08, 2.095164794428371e-12
0, 0, 55, 4.347225868173155e-08, 2.654198001756352e-12
0, 0, 56, 4.986964441400232e-08, 2.322792042864421e-12
0, 0, 57, 5.976608719038268e-08, 3.18029216000265e-12
0, 0, 58, 7.549874680989888e-08, 3.798556161603193e-12
0, 0, 59, 5.806856151480133e-08, 2.965113012398436e-12
0, 0, 60, 8.261858397418109e-08, 4.769993401547974e-12
0, 0, 61, 6.570594024424281e-08, 2.929138191915545e-12
0, 0, 62, 6.736120639061483e-08, 3.599662134778513e-12
0, 0, 63, 7.555381387192028e-08, 4.63468099943229e-12
0, 0, 64, 6.640479455199966e-08, 3.532329161055706e-12
0, 0, 65, 5.912784573069985e-08, 2.862323981091228e-12
0, 0, 66, 4.427405642104532e-08, 2.247610251681349e-12
0, 0, 67, 5.453022922097261e-08, 2.920320464902355e-12
0, 0, 68, 7.055717077264489e-08, 3.440618713812227e-12
0, 0, 69, 5.192301344436601e-08, 2.515160740790956e-12
0, 0, 70, 6.64608776901332e-08, 3.711236060322161e-12
0, 0, 71, 7.40614680694307e-08, 3.852549554123146e-12
0, 0, 72, 7.135320601037165e-08, 3.202242945064499e-12
0, 0, 73, 8.1449528011035e-08, 3.044208789500766e-12
0, 0, 74, 6.169555177848451e-08, 3.007467588371809e-12
0, 0, 75, 4.894668848010042e-08, 2.349791759355007e-12
0, 0, 76, 4.939444053775333e-08, 2.386677214667521e-12
0, 0, 77, 4.130428621351712e-08, 2.328231818858237e-12
0, 0, 78, 4.80651287659839e-08, 2.232019333942936e-12
0, 0, 79, 6.831567844756137e-08, 2.970804093071772e-12
